POSTALCODE,COUNTRY,STATE,ACI_AIRPORT,ACI_ZONE
35674,US,AL,ATL,Y
35762,US,AL,ATL,Y
35171,US,AL,ATL,Y
35672,US,AL,ATL,Y
35758,US,AL,ATL,Y
35173,US,AL,ATL,Y
35401,US,AL,ATL,Y
35402,US,AL,ATL,Y
35118,US,AL,ATL,Y
35404,US,AL,ATL,Y
35150,US,AL,ATL,Y
35216,US,AL,ATL,Y
35226,US,AL,ATL,Y
35242,US,AL,ATL,Y
35216,US,AL,ATL,Y
35226,US,AL,ATL,Y
35242,US,AL,ATL,Y
35178,US,AL,ATL,Y
35180,US,AL,ATL,Y
35403,US,AL,ATL,Y
35652,US,AL,ATL,Y
35748,US,AL,ATL,Y
35121,US,AL,ATL,Y
36203,US,AL,ATL,Y
35580,US,AL,ATL,Y
35124,US,AL,ATL,Y
36272,US,AL,ATL,Y
35236,US,AL,ATL,Y
35160,US,AL,ATL,Y
35135,US,AL,ATL,Y
35476,US,AL,ATL,Y
35957,US,AL,ATL,Y
35660,US,AL,ATL,Y
35661,US,AL,ATL,Y
35242,US,AL,ATL,Y
35952,US,AL,ATL,Y
35901,US,AL,ATL,Y
35987,US,AL,ATL,Y
35148,US,AL,ATL,Y
35244,US,AL,ATL,Y
35236,US,AL,ATL,Y
35244,US,AL,ATL,Y
35213,US,AL,ATL,Y
35215,US,AL,ATL,Y
35216,US,AL,ATL,Y
35220,US,AL,ATL,Y
35223,US,AL,ATL,Y
35226,US,AL,ATL,Y
35209,US,AL,ATL,Y
35235,US,AL,ATL,Y
35204,US,AL,ATL,Y
35240,US,AL,ATL,Y
35242,US,AL,ATL,Y
35243,US,AL,ATL,Y
35244,US,AL,ATL,Y
35298,US,AL,ATL,Y
35031,US,AL,ATL,Y
36204,US,AL,ATL,Y
35078,US,AL,ATL,Y
35228,US,AL,ATL,Y
36205,US,AL,ATL,Y
35005,US,AL,ATL,Y
35007,US,AL,ATL,Y
35950,US,AL,ATL,Y
35073,US,AL,ATL,Y
35952,US,AL,ATL,Y
36201,US,AL,ATL,Y
36202,US,AL,ATL,Y
35210,US,AL,ATL,Y
36204,US,AL,ATL,Y
35957,US,AL,ATL,Y
35611,US,AL,ATL,Y
35954,US,AL,ATL,Y
35020,US,AL,ATL,Y
35021,US,AL,ATL,Y
35023,US,AL,ATL,Y
35201,US,AL,ATL,Y
35202,US,AL,ATL,Y
35203,US,AL,ATL,Y
36203,US,AL,ATL,Y
35902,US,AL,ATL,Y
35226,US,AL,ATL,Y
35064,US,AL,ATL,Y
35630,US,AL,ATL,Y
35631,US,AL,ATL,Y
